"BRANDCODE","CONTACTEMAIL","CONTACTPHONE","COUNTRYOFORIGIN","DESCRIPTION","LOGOURL","NAME","WEBSITEURL"
"BR001","contact@von,waelchiandswaniawski.com","652.840.7603","Israel","Ameliorated multi-state encoding","https://pigment.github.io/fake-logos/logos/medium/color/1.png","Von, Waelchi and Swaniawski","www.romagueragerholdandfranecki.com"
"BR002","contact@schimmelllc.com","1-373-730-2298","Senegal","Object-based incremental flexibility","https://pigment.github.io/fake-logos/logos/medium/color/1.png","Schimmel LLC","www.oberbrunnerpowlowskianddaugherty.net"
"BR003","contact@padberg,predovicandjohns.com","(236) 526-3602","Serbia","Future-proofed fresh-thinking leverage","https://pigment.github.io/fake-logos/logos/medium/color/13.png","Padberg, Predovic and Johns","www.torphyandsons.org"
"BR004","contact@daniel-metz.com","996-177-6397 x0383","Suriname","Synergized well-modulated pricing structure","https://pigment.github.io/fake-logos/logos/medium/color/5.png","Daniel-Metz","www.rodriguezinc.name"
"BR005","contact@walshgroup.com","054-418-5813","Solomon Islands","Fully-configurable heuristic matrix","https://pigment.github.io/fake-logos/logos/medium/color/1.png","Walsh Group","www.murazikandsons.biz"
"BR006","contact@anderson,jakubowskiandgaylord.com","136.537.4749 x4445","Liechtenstein","Distributed composite hierarchy","https://pigment.github.io/fake-logos/logos/medium/color/4.png","Anderson, Jakubowski and Gaylord","www.kshlerin-roberts.name"
"BR007","contact@hegmanngroup.com","1-995-868-3519","Egypt","Front-line local concept","https://pigment.github.io/fake-logos/logos/medium/color/10.png","Hegmann Group","www.connelly-rau.com"
"BR008","contact@harber-o'keefe.com","925-569-5155","Morocco","Optional system-worthy data-warehouse","https://pigment.github.io/fake-logos/logos/medium/color/7.png","Harber-O'Keefe","www.senger-dickinson.info"
"BR009","contact@bogangroup.com","1-679-660-7409 x5223","Saudi Arabia","Object-based client-server software","https://pigment.github.io/fake-logos/logos/medium/color/2.png","Bogan Group","www.greenholtmayerandohara.biz"
"BR010","contact@predovic-rice.com","(636) 400-0266 x738","Nigeria","Cross-group logistical access","https://pigment.github.io/fake-logos/logos/medium/color/4.png","Predovic-Rice","www.jakubowskihauckandreinger.net"
"BR011","contact@erdmaninc.com","542.517.9217","Japan","Re-contextualized radical capacity","https://pigment.github.io/fake-logos/logos/medium/color/10.png","Erdman Inc","www.dibbertcummingsandwehner.info"
