"BESTSELLING","DESCRIPTION","GRADE","IMAGEURL","NAME","NEWARRIVAL","PRICE","PRODUCTCODE","QUANTITY","RECOMMENDED","STATUS"
"false","Vero aliquid tenetur velit similique atque maxime a quia vel unde totam quae et dolore consequatur est.","ECONOMY","http://lorempixel.com/1680/1050/cats/","Durable Copper Gloves","false","568.69","PRD001","166","true","HIDDEN"
"true","Odio dolores error quis nisi quis nisi voluptate enim dolore aut quia officia vel unde est aut recusandae.","STANDARD","http://lorempixel.com/1024/768/people/","Lightweight Iron Pants","false","1544.7","PRD002","344","true","DISCONTINUED"
"true","Et vel tenetur cupiditate est sed consequuntur ea et culpa asperiores rerum dolorem optio ut cum repellat facilis.","LUXURY","http://lorempixel.com/g/640/350/technics/","Rustic Copper Hat","true","919.09","PRD003","173","true","OUT_OF_STOCK"
"false","Eum fugiat esse explicabo assumenda non non tempora ipsam ducimus numquam impedit dolorem sit laudantium expedita at.","STANDARD","http://lorempixel.com/1280/1024/transport/","Practical Iron Bag","true","1598.87","PRD004","132","false","PRE_ORDER"
"false","Sequi quaerat id ad corrupti fuga reiciendis dolor modi eligendi architecto velit quo tenetur esse quasi consectetur expedita sunt assumenda.","PREMIUM","http://lorempixel.com/1680/1050/fashion/","Enormous Iron Bag","true","1912.96","PRD005","424","true","DELETED"
"false","Provident maiores dolores itaque ipsa occaecati dolor tempore qui et dolores delectus quia odit omnis ullam.","STANDARD","http://lorempixel.com/1366/768/people/","Rustic Rubber Wallet","false","871.69","PRD006","402","false","PRE_ORDER"
"false","Consequuntur consectetur dolorem mollitia quod ipsum odit nobis delectus eos aut repellendus qui provident vero magni modi ipsa ducimus assumenda.","BUDGET","http://lorempixel.com/1920/1200/sports/","Practical Paper Knife","true","1377.79","PRD007","440","false","HIDDEN"
"true","Odio quidem et asperiores dolor aut hic voluptate vero velit odio et rerum rerum dolores enim hic.","STANDARD","http://lorempixel.com/1920/1200/animals/","Lightweight Granite Wallet","false","1486.55","PRD008","284","true","OUT_OF_STOCK"
"false","Consequatur cum quod consequuntur voluptatibus placeat laborum maiores illum veniam eligendi magnam alias suscipit dolorem dicta eaque.","LUXURY","http://lorempixel.com/640/350/transport/","Sleek Copper Computer","false","1409.64","PRD009","277","false","DISCONTINUED"
"false","Commodi dicta ut quis et dolore voluptates atque aut quis incidunt suscipit omnis quo quo totam explicabo quia eveniet quisquam.","PREMIUM","http://lorempixel.com/g/1680/1050/cats/","Incredible Iron Bench","false","860.02","PRD010","198","false","HIDDEN"
"false","Sunt pariatur omnis commodi officiis sunt explicabo inventore laboriosam perferendis necessitatibus odio nesciunt omnis est maxime eum sit et ab.","PREMIUM","http://lorempixel.com/720/348/fashion/","Enormous Wooden Lamp","true","1861.14","PRD011","36","true","OUT_OF_STOCK"
"true","Perferendis esse est numquam neque asperiores mollitia amet unde amet soluta consequatur sit iure et.","ECONOMY","http://lorempixel.com/1366/768/city/","Small Plastic Hat","false","1875.7","PRD012","429","true","HIDDEN"
"true","Minus neque est voluptatem praesentium sint eveniet harum architecto ullam a labore ut dicta doloribus magni.","ECONOMY","http://lorempixel.com/g/1680/1050/food/","Small Linen Bag","false","868.68","PRD013","272","false","HIDDEN"
"false","Consequatur nisi quasi provident ducimus ea qui dolores occaecati sint impedit debitis et velit sit in aut ea vero tempore.","BUDGET","http://lorempixel.com/g/320/200/nightlife/","Ergonomic Wool Coat","true","1843.44","PRD014","397","false","AVAILABLE"
"false","Ab facere enim saepe occaecati aspernatur est officiis natus autem rem et neque ut est vel dolores repudiandae rem.","ECONOMY","http://lorempixel.com/320/200/nightlife/","Fantastic Rubber Pants","false","782.04","PRD015","28","true","AVAILABLE"
"true","Aut at dolor illum ducimus tempora ducimus laudantium ut voluptatem vitae ut exercitationem eveniet quaerat dolorum.","LUXURY","http://lorempixel.com/g/720/348/animals/","Awesome Copper Table","false","586.52","PRD016","319","true","PRE_ORDER"
"false","Molestias soluta ipsa optio id necessitatibus eius minus saepe nisi quia iusto error quis voluptatem.","LUXURY","http://lorempixel.com/1680/1050/people/","Enormous Steel Chair","false","227.79","PRD017","497","false","PRE_ORDER"
"false","Dignissimos porro rem ut dolorem debitis inventore sed aliquid optio tenetur qui sit reiciendis sint ipsa sunt odio.","LUXURY","http://lorempixel.com/g/320/200/business/","Enormous Leather Bench","false","736.77","PRD018","404","false","DELETED"
